invoice_no,customer,invoice_amount,tax_amount,invoice_date
INV001,Customer A,1137,204.66,2026-01-02
INV002,Customer B,1274,229.32,2026-01-03
INV003,Customer C,1411,253.98,2026-01-04
INV004,Customer D,1548,278.64,2026-01-05
INV005,Customer E,1685,303.3,2026-01-06
INV006,Customer F,1822,327.96,2026-01-07
INV007,Customer G,1959,352.62,2026-01-08
INV008,Customer H,2096,377.28,2026-01-09
INV009,Customer I,2233,401.94,2026-01-10
INV010,Customer J,2370,426.6,2026-01-11
INV011,Customer K,2507,451.26,2026-01-12
INV012,Customer L,2644,475.92,2026-01-13
INV013,Customer M,2781,500.58,2026-01-14
INV014,Customer N,2918,525.24,2026-01-15
INV015,Customer O,3055,549.9,2026-01-16
INV016,Customer P,3192,574.56,2026-01-17
INV017,Customer Q,3329,599.22,2026-01-18
INV018,Customer R,3466,623.88,2026-01-19
INV019,Customer S,3603,648.54,2026-01-20
INV020,Customer T,3740,673.2,2026-01-21
INV021,Customer A,3877,697.86,2026-01-22
INV022,Customer B,4014,722.52,2026-01-23
INV023,Customer C,4151,747.18,2026-01-24
INV024,Customer D,4288,771.84,2026-01-25
INV025,Customer E,4425,796.5,2026-01-26
INV026,Customer F,4562,821.16,2026-01-27
INV027,Customer G,4699,845.82,2026-01-28
INV028,Customer H,4836,870.48,2026-01-29
INV029,Customer I,4973,895.14,2026-01-30
INV030,Customer J,5110,919.8,2026-01-31
INV031,Customer K,5247,944.46,2026-02-01
INV032,Customer L,5384,969.12,2026-02-02
INV033,Customer M,5521,993.78,2026-02-03
INV034,Customer N,5658,1018.44,2026-02-04
INV035,Customer O,5795,1043.1,2026-02-05
INV036,Customer P,5932,1067.76,2026-02-06
INV037,Customer Q,6069,1092.42,2026-02-07
INV038,Customer R,6206,1117.08,2026-02-08
INV039,Customer S,6343,1141.74,2026-02-09
INV040,Customer T,6480,1166.4,2026-02-10
INV041,Customer A,6617,1191.06,2026-02-11
INV042,Customer B,6754,1215.72,2026-02-12
INV043,Customer C,6891,1240.38,2026-02-13
INV044,Customer D,7028,1265.04,2026-02-14
INV045,Customer E,7165,1289.7,2026-02-15
INV046,Customer F,7302,1314.36,2026-02-16
INV047,Customer G,7439,1339.02,2026-02-17
INV048,Customer H,7576,1363.68,2026-02-18
INV049,Customer I,7713,1388.34,2026-02-19
INV050,Customer J,7850,1413.0,2026-02-20
INV051,Customer K,7987,1437.66,2026-02-21
INV052,Customer L,8124,1462.32,2026-02-22
INV053,Customer M,8261,1486.98,2026-02-23
INV054,Customer N,8398,1511.64,2026-02-24
INV055,Customer O,8535,1536.3,2026-02-25
INV056,Customer P,8672,1560.96,2026-02-26
INV057,Customer Q,8809,1585.62,2026-02-27
INV058,Customer R,8946,1610.28,2026-02-28
INV059,Customer S,9083,1634.94,2026-03-01
INV060,Customer T,9220,1659.6,2026-03-02
