transaction_id,customer,payment_amount,payment_date
TXN00001,Customer 01,10638.88,2026-07-07
TXN00002,Customer 02,46997.04,2026-07-03
TXN00003,Customer 03,40656.9,2026-07-09
TXN00004,Customer 04,29203.82,2026-07-04
TXN00005,Customer 05,28892.3,2026-07-11
TXN00006,Customer 06,51490.48,2026-07-12
TXN00007,Customer 07,10463.06,2026-07-13
TXN00008,Customer 08,42929.58,2026-07-13
TXN00009,Customer 09,16597.88,2026-07-12
TXN00010,Customer 10,10899.66,2026-07-15
TXN00011,Customer 11,33855.38,2026-07-13
TXN00012,Customer 12,57705.54,2026-07-18
TXN00013,Customer 13,44967.44,2026-07-17
TXN00014,Customer 14,46316.18,2026-07-17
TXN00015,Customer 15,43997.48,2026-07-19
TXN00016,Customer 16,47638.96,2026-07-20
TXN00017,Customer 17,33152.1,2026-07-17
TXN00018,Customer 18,12702.7,2026-07-19
TXN00019,Customer 19,50489.84,2026-07-20
TXN00020,Customer 20,29815.06,2026-07-20
TXN00021,Customer 01,32467.7,2026-07-24
TXN00022,Customer 02,25588.3,2026-07-27
TXN00023,Customer 03,15592.52,2026-07-28
TXN00024,Customer 04,55110.72,2026-07-27
TXN00025,Customer 05,47400.6,2026-07-31
TXN00026,Customer 06,40088.14,2026-07-30
TXN00027,Customer 07,27267.44,2026-07-27
TXN00028,Customer 08,49588.32,2026-08-03
TXN00029,Customer 09,34861.92,2026-08-02
TXN00030,Customer 10,29444.54,2026-08-04
TXN00031,Customer 11,29818.6,2026-08-04
TXN00032,Customer 12,17965.5,2026-08-05
TXN00033,Customer 13,10792.28,2026-08-02
TXN00034,Customer 14,35348.08,2026-08-07
TXN00035,Customer 15,53046.9,2026-08-10
TXN00036,Customer 16,9287.78,2026-08-07
TXN00037,Customer 17,51475.14,2026-08-10
TXN00038,Customer 18,49846.74,2026-08-07
TXN00039,Customer 19,20595.72,2026-08-10
TXN00040,Customer 20,39440.32,2026-08-12
TXN00041,Customer 01,14673.3,2026-08-17
TXN00042,Customer 02,46153.34,2026-08-12
TXN00043,Customer 03,43097.14,2026-08-14
TXN00044,Customer 04,24724.54,2026-08-16
TXN00045,Customer 05,9506.08,2026-08-21
TXN00046,Customer 06,57443.58,2026-08-21
TXN00047,Customer 07,29564.9,2026-08-16
TXN00048,Customer 08,53324.2,2026-08-18
TXN00049,Customer 09,41897.08,2026-08-24
TXN00050,Customer 10,47231.86,2026-08-19
TXN00051,Customer 11,46250.1,2026-08-26
TXN00052,Customer 12,16234.44,2026-08-23
TXN00053,Customer 13,25222.5,2026-08-29
TXN00054,Customer 14,30682.36,2026-08-25
TXN00055,Customer 15,32332.0,2026-08-27
TXN00056,Customer 16,8225.78,2026-08-30
TXN00057,Customer 17,34922.1,2026-08-27
TXN00058,Customer 18,14092.74,2026-08-31
TXN00059,Customer 19,45372.18,2026-09-01
TXN00060,Customer 20,42169.66,2026-09-04
TXN00061,Customer 01,54885.34,2026-09-06
TXN00062,Customer 02,45446.52,2026-09-05
TXN00063,Customer 03,25367.64,2026-09-04
TXN00064,Customer 04,57273.66,2026-09-05
TXN00065,Customer 05,27715.84,2026-09-06
TXN00066,Customer 06,23201.16,2026-09-10
TXN00067,Customer 07,53983.82,2026-09-07
TXN00068,Customer 08,25570.6,2026-09-07
TXN00069,Customer 09,9953.3,2026-09-09
TXN00070,Customer 10,30833.4,2026-09-08
TXN00071,Customer 11,48399.9,2026-09-09
TXN00072,Customer 12,15960.68,2026-10-25
TXN00073,Customer 13 Ltd,30481.76,2026-09-17
TXN00074,Customer 14,13998.28,2026-09-17
TXN00075,Customer 15,42351.38,2026-10-28
TXN00076,Customer 16 Ltd,31159.08,2026-09-17
TXN00077,Customer 17,24182.44,2026-09-20
TXN00078,Customer 18,17947.8,2026-10-31
TXN00079,Customer 19 Ltd,35874.36,2026-09-24
TXN00080,Customer 20,41966.38,2026-09-22
TXN00081,Customer 01,55829.34,2026-11-03
TXN00082,Customer 02 Ltd,29111.78,2026-09-21
TXN00083,Customer 03,14681.4,2026-09-24
TXN00084,Customer 04,50114.6,2026-11-06
TXN00085,Customer 05 Ltd,39340.02,2026-09-26
TXN00086,Customer 06,43082.98,2026-09-27
TXN00087,Customer 07,11062.5,2026-09-26
TXN00088,Customer 08,22486.08,2026-09-29
TXN00089,Customer 09,46671.36,2026-09-28
TXN00090,Customer 10,50092.18,2026-09-30
TXN00091,Customer 11,29009.12,2026-10-04
TXN00092,Customer 12,48632.52,2026-10-05
TXN00093,Customer 13,50593.68,2026-10-05
TXN00094,Customer 14,26474.48,2026-10-04
TXN00095,Customer 15,53587.34,2026-10-10
TXN00096,Customer 16,21209.32,2026-10-04
TXN00097,Customer 17,18620.4,2026-10-07
TXN00098,Customer 18,42140.16,2026-10-06
TXN00099,Customer 19,39711.72,2026-10-09
TXN00100,Customer 20,13319.84,2026-10-15
TXN00101,Unknown Customer 1,24510.0,2026-09-01
TXN00102,Unknown Customer 2,54880.0,2026-09-02
TXN00103,Unknown Customer 3,31723.0,2026-09-03
TXN00104,Unknown Customer 4,43183.0,2026-09-04
TXN00105,Unknown Customer 5,29615.0,2026-09-05
TXN00106,Unknown Customer 6,18888.0,2026-09-06
TXN00107,Unknown Customer 7,46796.0,2026-09-07
TXN00108,Unknown Customer 8,58273.0,2026-09-08
TXN00109,Unknown Customer 9,18757.0,2026-09-09
TXN00110,Unknown Customer 10,47610.0,2026-09-10
TXN00111,Unknown Customer 11,18623.0,2026-09-11
TXN00112,Unknown Customer 12,44145.0,2026-09-12
TXN00113,Unknown Customer 13,48184.0,2026-09-13
TXN00114,Unknown Customer 14,29164.0,2026-09-14
TXN00115,Unknown Customer 15,45267.0,2026-09-15
