record_type,invoice_no,transaction_id,expected_transaction_id,expected_status,controller_status,pair_correct,status_correct,ledger_amount,payment_amount,amount_difference,date_gap_days,confidence
Invoice,INV00001,TXN00001,TXN00001,MATCH,MATCH,True,True,10638.88,10638.88,0.0,6.0,91.0
Invoice,INV00002,TXN00002,TXN00002,MATCH,MATCH,True,True,46997.04,46997.04,0.0,1.0,100.0
Invoice,INV00003,TXN00003,TXN00003,MATCH,MATCH,True,True,40656.9,40656.9,0.0,6.0,96.0
Invoice,INV00004,TXN00004,TXN00004,MATCH,MATCH,True,True,29203.82,29203.82,0.0,0.0,100.0
Invoice,INV00005,TXN00005,TXN00005,MATCH,MATCH,True,True,28892.3,28892.3,0.0,6.0,96.0
Invoice,INV00006,TXN00006,TXN00006,MATCH,MATCH,True,True,51490.48,51490.48,0.0,6.0,91.0
Invoice,INV00007,TXN00007,TXN00007,MATCH,MATCH,True,True,10463.06,10463.06,0.0,6.0,96.0
Invoice,INV00008,TXN00008,TXN00008,MATCH,MATCH,True,True,42929.58,42929.58,0.0,5.0,97.0
Invoice,INV00009,TXN00009,TXN00009,MATCH,MATCH,True,True,16597.88,16597.88,0.0,3.0,99.0
Invoice,INV00010,TXN00010,TXN00010,MATCH,MATCH,True,True,10899.66,10899.66,0.0,5.0,97.0
Invoice,INV00011,TXN00011,TXN00011,MATCH,MATCH,True,True,33855.38,33855.38,0.0,2.0,100.0
Invoice,INV00012,TXN00012,TXN00012,MATCH,MATCH,True,True,57705.54,57705.54,0.0,6.0,96.0
Invoice,INV00013,TXN00013,TXN00013,MATCH,MATCH,True,True,44967.44,44967.44,0.0,4.0,98.0
Invoice,INV00014,TXN00014,TXN00014,MATCH,MATCH,True,True,46316.18,46316.18,0.0,3.0,99.0
Invoice,INV00015,TXN00015,TXN00015,MATCH,MATCH,True,True,43997.48,43997.48,0.0,4.0,93.0
Invoice,INV00016,TXN00016,TXN00016,MATCH,MATCH,True,True,47638.96,47638.96,0.0,4.0,98.0
Invoice,INV00017,TXN00017,TXN00017,MATCH,MATCH,True,True,33152.1,33152.1,0.0,0.0,100.0
Invoice,INV00018,TXN00018,TXN00018,MATCH,MATCH,True,True,12702.7,12702.7,0.0,1.0,100.0
